path	tonic(hz)	tradition	artist_name	gender	vocal_instrumental
TonicDataset/CM/audio/0030fdf2-ddfc-4224-986b-887c047354a0_0-180.mp3	142.627	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/0030fdf2-ddfc-4224-986b-887c047354a0_1439-1619.mp3	142.45	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/0030fdf2-ddfc-4224-986b-887c047354a0_2879-3059.mp3	142.445	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/00d66bdd-73b3-4a89-9786-02051eae6dcf_0-180.mp3	163.409	Hindustani	NA	Male	instrumental
TonicDataset/CM/audio/00f54612-09f6-4528-91f1-95e5ef191c1b_0-180.mp3	213.107	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/00f54612-09f6-4528-91f1-95e5ef191c1b_1486-1666.mp3	213.091	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/00f54612-09f6-4528-91f1-95e5ef191c1b_743-923.mp3	213.867	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/0113c364-2689-49c3-8c18-6a7f5d19d22d_0-180.mp3	156.042	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/0178ecfa-a8f4-46c0-a50d-f1662a473779_0-180.mp3	320.464	Carnatic	NA	Male	instrumental
TonicDataset/CM/audio/01936cd0-f084-4ec4-a3d4-f098d5db4c45_0-180.mp3	193.022	Carnatic	NA	Female	vocal
TonicDataset/CM/audio/0229612b-f8e8-4efd-97f3-1503935088e5_0-180.mp3	136.104	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/028528cc-9b4f-44b7-afb2-5c778a24adcb_0-180.mp3	142.47	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/0293ccd1-ca70-49cc-87b0-e8c6c21c23d8_0-180.mp3	332.624	Carnatic	NA	Male	instrumental
TonicDataset/CM/audio/0481f568-f9f9-4b9d-9f03-d82cb9ccbf3c_0-180.mp3	236.784	Hindustani	NA	Female	vocal
