path	tonic(hz)	tradition	artist_name	gender	vocal_instrumental
TonicDataset/CM/audio/0030fdf2-ddfc-4224-986b-887c047354a0_0-180.mp3	142.627	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/0030fdf2-ddfc-4224-986b-887c047354a0_1439-1619.mp3	142.45	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/0030fdf2-ddfc-4224-986b-887c047354a0_2879-3059.mp3	142.445	Hindustani	NA	Male	vocal
TonicDataset/CM/audio/00f54612-09f6-4528-91f1-95e5ef191c1b_0-180.mp3	213.107	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/00f54612-09f6-4528-91f1-95e5ef191c1b_1486-1666.mp3	213.091	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/00f54612-09f6-4528-91f1-95e5ef191c1b_743-923.mp3	213.867	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/0113c364-2689-49c3-8c18-6a7f5d19d22d_0-180.mp3	156.042	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/0229612b-f8e8-4efd-97f3-1503935088e5_0-180.mp3	136.104	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/028528cc-9b4f-44b7-afb2-5c778a24adcb_0-180.mp3	142.47	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/0481f568-f9f9-4b9d-9f03-d82cb9ccbf3c_0-180.mp3	236.784	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/0481f568-f9f9-4b9d-9f03-d82cb9ccbf3c_1359-1539.mp3	236.75	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/0481f568-f9f9-4b9d-9f03-d82cb9ccbf3c_679-859.mp3	236.559	Hindustani	NA	Female	vocal
TonicDataset/CM/audio/049d9e8f-a34c-4da7-aa7d-617584c5c461_0-180.mp3	143.888	Carnatic	NA	Male	vocal
TonicDataset/CM/audio/05d50386-d558-4d57-a000-ecf57a24fc55_1758-1938.mp3	144.413	Hindustani	NA	Male	vocal
