path	tonic(hz)	tradition	artist_name	gender	vocal_instrumental
TonicDataset/IISc/audio/harikambhoji/03b-endukunirdaya-harikambodhi-swarakalpana-ssi-c02.mp3	133.51	na	na	Male	NA
TonicDataset/IISc/audio/harikambhoji/04c-sanithodi-harikambodhi-swarakalpana-dkp-c06.mp3	168.34	na	na	Female	NA
TonicDataset/IISc/audio/harikambhoji/04a-harikambodhi-alapana-dkp-c06.mp3	167.79	na	na	Female	NA
TonicDataset/IISc/audio/harikambhoji/02a-endukunirdaya-harikambodhi-alapana-alathur-c01.mp3	141.47	na	na	Male	NA
TonicDataset/IISc/audio/harikambhoji/19b_FILLER_dinamani_harikambodhi-swarakalpana-ssi-c12.mp3	133.47	na	na	Male	NA
TonicDataset/IISc/audio/harikambhoji/02b_dinamani_harikambodhi_swarakalpana-ssi-c09.mp3	131.8	na	na	Male	NA
TonicDataset/IISc/audio/kalyani/04a-kalyani-alapana-ssi-tisai1960.mp3	120.81	na	na	Male	NA
TonicDataset/IISc/audio/kalyani/04a-kalyani-alapana-dkp-c04.mp3	151.6	na	na	Female	NA
TonicDataset/IISc/audio/kalyani/03a-kalyani-alapana-dkp-c03.mp3	156.7	na	na	Female	NA
TonicDataset/IISc/audio/kalyani/04a-kalyani-alapana-ssi-c07.mp3	120.67	na	na	Male	NA
TonicDataset/IISc/audio/kalyani/07a-kalyani-alapana-dkp-c07.mp3	162.73	na	na	Female	NA
TonicDataset/IISc/audio/kalyani/04a-kalyani-alapana-mdr-c03.mp3	104.44	na	na	Male	NA
TonicDataset/IISc/audio/kharaharapriya/09c-nadachi-kharaharapriya-swarakalpana-dkp-c06.mp3	158.26	na	na	Female	NA
TonicDataset/IISc/audio/kharaharapriya/06d-ramaneesamana-kharaharapriya-swarakalpana-ssi-c16.mp3	119.21	na	na	Male	NA
TonicDataset/IISc/audio/kharaharapriya/06d_ramaneesamana_kharaharapriya_swarakalpana-ssi-c03.mp3	135.2	na	na	Male	NA
TonicDataset/IISc/audio/kharaharapriya/15a-kharaharapriya-alapana-dkp-c02.mp3	166.49	na	na	Female	NA
TonicDataset/IISc/audio/kharaharapriya/08a-kharaharapriya-alapana-dkp-c04.mp3	152.17	na	na	Female	NA
TonicDataset/IISc/audio/kharaharapriya/09a-kharaharapriya-alapana-dkp-c06.mp3	160.76	na	na	Female	NA
TonicDataset/IISc/audio/kharaharapriya/06a_kharaharapriya_alapana-ssi-c03.mp3	133.86	na	na	Male	NA
TonicDataset/IISc/audio/kharaharapriya/09a-rtp-kharaharapriya-alapana-ssi-c17.mp3	137.79	na	na	Male	NA
TonicDataset/IISc/audio/kharaharapriya/06a-kharaharapriya-alapana-ssi-c16.mp3	118.6	na	na	Male	NA
TonicDataset/IISc/audio/mayamalavagowla/01c-devadeva-mayamalavagowla-neraval-ssi-c11.mp3	117.69	na	na	Male	NA
TonicDataset/IISc/audio/mayamalavagowla/01a-mayamalavagowla-alapana-ssi-c11.mp3	117.27	na	na	Male	NA
TonicDataset/IISc/audio/mayamalavagowla/01-mayamalavagowla-alapana-ssi-c11.mp3	117.27	na	na	Male	NA
TonicDataset/IISc/audio/mayamalavagowla/02b-vidulaku-mayamalavagowla-swarakalpana-dkp-c05.mp3	161.04	na	na	Female	NA
TonicDataset/IISc/audio/mayamalavagowla/01c-deva-deva-mayamalavagowla-swarakalpana-ssi-c13.mp3	131.67	na	na	Male	NA
TonicDataset/IISc/audio/mayamalavagowla/01c-deva-deva-mayamalavagowla-swarakalpana-ssi-c01.mp3	127.8	na	na	Male	NA
