path	tonic(hz)	tradition	artist_name	gender	vocal_instrumental
TonicDataset/IITM/audio/Tonic_Data_bootleg1_part1/ALBKamboji1folder	146.3	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data_bootleg1_part1/DKPKamboji1folder	160.93	na	na	Female	na
TonicDataset/IITM/audio/Tonic_Data_bootleg1_part1/GNBKamboji4and4bfolder	135	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data_bootleg1_part1/KVNKamboji1folder	134.6	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data_bootleg1_part1/KVNKamboji2folder	129.43	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data_bootleg1_part1/KVNKamboji3folder	137.97	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data_bootleg1_part1/ManjunathKamboji1folder	145.8	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data_bootleg1_part1/MSSKamboji1folder	205.6	na	na	Female	na
TonicDataset/IITM/audio/Tonic_Data_bootleg1_part1/SanjayKamboji1folder	157.1	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data_bootleg1_part1/SanjayKamboji2folder	150	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data2/TMKKamboji1folder	148.55	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data2/TMKKamboji2folder	145.4	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data2/TMKKamboji3folder	146	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data2/TMKKamboji4folder	145	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data2/TMKKamboji5folder	146	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data2/TMKKamboji6folder	145	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data2/TMKKamboji7folder	144.95	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data2/TNSKamboji1folder	142	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data2/TRSKamboji1folder	142	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data2/VSKamboji1folder	154	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/02_KSG_MC_KVPrasad_HPRamachar_5June_1999	160.93	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/032-PalghatKVNarayanaswamy	135.5	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/03Lalgudi-GJRK-Karaikudi-Ramachar-Mysore-1981	145.4	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/078-MSGopalakrishnan-Narmada-MannarkudiEaswaran-VaikkomRGopalakrishnan-AIR17062000	166.1	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/34-NRavikiran-MysoreManjunath-UmayalpuramKSivaraman-2005	209.53	na	na	Female	na
TonicDataset/IITM/audio/Tonic_Data3/540-MSSheela-CharulathaRamanujam-AnoorAnanthakrishnaSarma-Sydney08032003	213	na	na	Female	na
TonicDataset/IITM/audio/Tonic_Data3/545-VoletiVenkateswarulu-KarnatakaSangeethaSabhaDelhi19101985	131.68	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/547-MaduraiTNSeshagopalan-VenkateswaraNamasankeertanam-KrishnaGhanaSabha26112005	132.8	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/553-SShankar	148.55	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/555-SShankar	148.32	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/557-TMKrishna-SriramParasuram-MannarkudiEaswaran-BSPurushottaman-Tiruppur	146.75	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/558-TMKrishna-SangeetaSampradayaPradarshini	146.5	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/559-HyderabadSisters-KalpanaKishore-TanjoreSubramaniam-Govindarajan-SilverJubileeCelebrations	191.3	na	na	Female	na
TonicDataset/IITM/audio/Tonic_Data3/561-PalghatKVNarayanaswamy-AkashvaniSangeethSamelan-AIR	127.4	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/562-PanthulaRama	196.47	na	na	Female	na
TonicDataset/IITM/audio/Tonic_Data3/563-RVedavalli-CharulathaRamanujam-ArunKumar-SukanyaRamgopal-BTMCulturalAcademyJune2006	148	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/564-SethalapattiBalasubramaniam-PapanasaSivanKrithis	134.38	na	na	Male	na
TonicDataset/IITM/audio/Tonic_Data3/565-SudhaRaghunathan-8thCrossMysore	200.97	na	na	Female	na
